company,booth_no,booth_id
Bondtronics Technology Incorporation,J3134,651424
Bossmen Inc.,P5924,653746
Braun & Quarld Quartz Glass Lianyungang Ltd.,S7545,650592
"Brewer Science, Inc.",I2316,651188
"Bright Sheland International Co., Ltd.",S7136,650517
"Bronkhorst Taiwan Co., Ltd.",N0289,653236
"Bruker Taiwan Co., Ltd",N1282,653426
"BTU International, Inc.",I2516,697774
"Bueno Technology Co., Ltd.",J2238,651445
Bühler Leybold Optics,I2804,651071
Burkert Taiwan Ltd.,P5624,653740
C Sun Mfg Ltd.,N0662,696199
"C.C.P. CONTACT PROBES CO., LTD.",S7658,650785
Caelus Technologies Limited,H0021,679927
California Pavilion,S7330,697558
Camtek Inspection Technology Limited,M0938,652604
Canadian Trade Office in Taipei,Q6158,654042
Canon,M0134,652589
CANTOPS Co. Ltd.,P5724,653742
"Capcon Limited Co., Ltd",P5107,654251
"Carbo Tzujan Industrial Co., LTD.",X0002,654284
"Carl Zeiss Co., Ltd.",L0510,652309
Carpenter Technology,S7952,650707
CASTEC INTERNATIONAL CORP.,Q5258,653982
"Casting Machining Engineering Co., Ltd.",Q5644,653881
CbI Program,T9002,661901
"CBJ TECH Co., Ltd.",Q5140,698247
CDS Condition Monitoring Service Co.,P5722,653727
CEA-LETI,R7324,697856
CEIPIEMONTE s.c.p.a.,R8000,698677
Centrum Technology Corporation,S8130,650108
CENTURY TRADING CORPORATION,S8252,650713
"CERMAX Co., Ltd",Q6240,654078
Certain Micro Application Technology Inc.,K3183,656319
Chain Logic International Corp.,I2624,651278
CHAIN SUN TECHNOLOGY LTD.,S7746,650630
Challentech International Corporation,J2146,650960
"CHANG SUNG ACE CO., LTD.",T9317,662039
"Changzhou Mingseal Robot Technology Co., Ltd",N1192,653303
Changzhou Tonghui Electronic Co. Ltd.,S7837,650511
"CHAO-YOUNG APPLICATION TECHNOLOGY CO., LTD.",I2905,651072
CHELPIS Quantum Corporation,L1330,697772
"CHEMFISH TOKYO CO.,LTD",L1025,652484
"Cheng Mei Instrument Technology Co., Ltd.",N1076,653109
"Cheng Tay Heater & Instrument Co., Ltd",K2033,652132
"Chengdu Catherine Technology Co.,Ltd.",R7606,650379
"Chia Sheng Technology Co., Ltd.",G0001,654263
"Chieftek Precision Co., Ltd.",L0326,652497
Chihuahua State Government,S7436,679671
CHIN KONG GRAPHIC CORP.,T9220,662034
"Ching Hung Machinery & Electric Industrial Co., LTD.",Q5630,653521
"Chip Shine Electronics Technology Co.,Ltd",I2125,661793
CHIYO ENTERPRISES LIMITED,P5124,655590
Chroma ATE Inc.,K2576,651803
"CHT Security Co., Ltd.",Q5336,654156
"Chuan Hung Technology Co., LTD.",R8319,650821
Chuan Yao Machinery Co. Ltd,Q5741,662351
"CHUNG I SILVER SOLDER CO., LTD.",X0025,654302
"Chung King Enterprise Co.,Ltd",I2726,651310
"Chunghwa Precision Test Tech. Co., Ltd",K2676,651805
CHUNMA HI-TECH,Q5139,654711
"CHYI DING Technologies Co., Ltd.",N0583,653170
CI SEMI,M1139,652654
"Cica-Huntek Chemical Technology Taiwan Co., Ltd.",P5112,653453
"CIRCUIT FABOLOGY MICROELECTRONICS EQUIPMENT CO., LTD.",N0050,655689
CIS Corporation,M1038,652653
City of Sendai,Q6134,698249
Clas-SIC Wafer Fab,I3000,698050
"CLEAN TECHNOLOGY CO., LTD. TAIWAN BRANCH (JAPAN)",R7412,655746
"CMTX Co., Ltd.",I2400,651022
"CN1 Co., Ltd",R7312,697755
CNW – COURIER NETWORK,J2939,651458
Coherent Corp.,N0562,656031
"COHO Advanced Materials Tech. Co., Ltd.",L0011,652147
"CohPros International Co., Ltd",I2516,651192
Comet Solutions Taiwan Ltd.,N1270,653415
"CONPROFE TECHNOLOGY GROUP CO., LTD.",P5524,655795
"Contrel Technology Co., Ltd.",N0662,696201
CoolLED Ltd,I3000,698038
"CORE TECHNOLOGY CO., LTD.",P5400,656322
"Coresemi Co., Ltd",L0916,683513
CORNERSTONE,I3000,698039
Corning Incorporated,L1030,652558
Creative Technology Corporation,I2616,651194
CSA Group Testing & Certification Inc.,Q6158,697963
"C-TECH Technology Co., Ltd.",S8030,650106
CXsemi Company Limited,J2553,651589
"CYCRAFT TECHNOLOGY CO., LTD.",Q5441,653844
Czech Pavilion,K2860,651413
"D&X (Taiwan) Co., LTD.",L1104,654609
"D.C.C.P. CO., LTD.",P5104,653446
"DA CEI TRADE CO., LTD.",J3434,661780
"Da-Chung Contact Probes Enterprises Co., Ltd.",K3385,652056
"Dah Young Vacuum Equipment Co., Ltd.",R7127,654700
Daicel Corporation,Q6052,654163
DAIHEN Corporation,P5600,653519
"Daiichinekken Co., Ltd.",Q5242,655887
"Daikawakenn Technology Co., Ltd",K2460,693467
Daike-VSR,T9303,661946
"Dalian High Purity Chemical Co., LTD",L0906,652267
DALTON CORPORATION,N0033,652167
Danil Syschem,X0028,654318
DAS Asia Ltd. Taiwan Branch,J2346,651527
"Dasan Eng Co., Ltd",M0457,652857
Daxin Materials Corp.,L1210,653355
"Dean Tech Co., Ltd",S7646,650643
"DEDIPROG TECHNOLOGY CO., LTD.",K2886,651909
"DeepCtrls Technologies Co., Ltd.",T9301,661940
DELO Industrial Adhesives,I2020,652101
DELTA ELECTRONICS INC.,P5312,654659
"DERIGHT PRECISION MACHINERY CO., LTD.",J3252,652029
Desert Glass Works,S7330,698526
Desiccant Technology Corporation,R7824,650443
DETEKT Technology Inc.,S7238,650524
"DEWTEK DRYING SYSTEMS CO., LTD.",R7604,650134
"DH CROWN TECH CO.,LTD",Q5136,653478
DI Corporation,J2634,651404
"DI KU DIAMOND ENTERPRISES CO., LTD.",S7640,650554
"DigiHua Intelligent Systems CO., LTD.",P5521,662338
"Dimond Shamrock Enterprise Co., Ltd.",J2338,651447
"Ding Cheng International Co., Ltd",Q5537,653814
"DINKLE ENTERPRISE CO., LTD.",Q5342,653861
"Directly Technology Co., Ltd",R7224,650298
"Disco HI-TEC Taiwan Co., Ltd.",M0748,655975
DKK-TOA Corporation,R7712,650203
"DMS CO., LTD",T9226,662027
"DNJO Technologies Co., Ltd",I2507,651085
"DOIT Technical Co., Limited",I2013,652094
Dong Rong Electronics Co Ltd,R7121,655597
"DONGIL TECHNOLGY CO.,LTD.",R7312,697750
"Dongjin Semichem Co., Ltd.",L0816,652386
DOOJIN Corporation,R7521,698146
Dou Yee Enterprises (S) Pte Ltd,L0410,652235
Dow Chemical Taiwan Ltd,X0035,654307
DS Fibertech Corporation,H0011,679922
"DSG CO., LTD.",Q5140,653482
Duksan Hi-Metal,T9409,661996
Duksan Neolux,T9409,694308
Dusemund Pte Ltd,T9112,695586
"Dyfenco International Co., Ltd.",S7941,650569
"DYNEX CO., LTD",S7642,650579
"DYT Taiwan Pte.,Ltd.",R8118,650261
E & R Engineering Corporation,M1048,652774
"EASE PLUS CO., LTD",T9104,661982
Easy Field Corporation,K3176,654578
"Eaton Phoenixtec MMPL Co., Ltd.",P5212,653639
"EAYUAN METAL INDUSTRIAL CO.,LTD.",T9221,662031
Ebara Corporation,N0368,653000
"ebm-papst Ventilator (Shanghai) Co., Ltd.",P5100,653441
"EC ADVANCE PCB TECHNOLOGY CO., LTD",I2904,697051
ECM Greentech,I2015,652097
ECO ENERGEN Co. Ltd.,Q6337,654207
Eco World Project Management Sdn Bhd,P6103,697903
Ecolab Limited,R7700,650091
Economic Development Partnership of North Carolina,S7330,697569
Ecosphere Clean Global Sdn Bhd,I2103,661788
"EFAB International Technology Co., Ltd.",J3152,651603
EFD Corporation,R8020,650430
EKK Eagle Semicon Components,P6200,654179
ElectraMet,P5103,654249
"Elemental Scientific, Inc.",J2353,651585
Elephantech Inc.,T9404,698066
"ELS System Technology Co., Ltd.",I2808,651114
EM-TECHNIK EAST ASIA LTD.,K2186,651007
Emulsion Flow Technologies Ltd.,Q6235,696205
"EN HOU POLYMER CHEMICAL INDUSTRIAL CO., LTD",X0011,654295
Enghouse Systems,Q6158,697966
"ENJET Co., Ltd.",P5218,653689
"ENLI TECHNOLOGY CO., LTD.",I2923,651261
"EN-LIANG ENTERPRISE CO.,LTD.",L0927,652506
Ensinger Asia Holding PTE. LTD. Taiwan Branch,K2042,652118
Entegris Asia Pte. Ltd. Taiwan Branch,L0128,652517
Enviro-Innovate Tech.,R7718,650255
"EO Technics Co., Ltd.",L0628,655489
"ePAK International, Inc.",N0041,653334
Episil-Precision Inc.,M0634,698253
"EPORT CO.,LTD",L0909,655966
EQ GLOBAL,M1140,697326
eRaytroniks company limited,X0014,664255
ERS Electronic GmbH,M0257,679635
"E-satisfy semiconductor ( jiangSu) Co.,Ltd.",Q6246,654211
"Escort Seal Co., Ltd.",R7120,655623
"esmo Taiwan Co.,Ltd",K2052,652133
"ETERNAL MATERIALS CO., LTD.",S7159,650904
"ETERNAL PRECISION MECHANICS CO., LTD.",N1367,662335
"Eunodata Co., Ltd.",Q5436,695989
Evatec AG,M0948,652772
Ever Island Corporation,L0822,652465
"EVER PURE APPLIED MATERIALS CO., LTD.",M0156,679636
Ever Team International Corp.,N0168,652996
Everlight Chemical Industrial Corporation,K2570,651743
"EverMore Technology, Inc.",Q5344,654159
EVERSUPP TECHNOLOGY CORP,L0926,652507
EVG-JOINTECH,L0310,652305
EVIDENT CORPORATION,J2646,651533
"EXCEL CELL ELECTRONIC CO., LTD.",S8046,650636
"EZBOND CHEMICAL CO., LTD.",L1208,653352
EZO Corporation,H0019,679926
F Plus Ceramic Applied Materials Limited,L0916,683511
F&K Delvotec Bondtechnik Singapore Pte Ltd,N1266,653410
FABREEKA INTERNATIONAL INC.TAIWAN BRANCH (U.S.A.),Q5841,653852
"FAGOR AUTOMATION TAIWAN CO., LTD.",P5700,653523
"Fang Jie Co., Ltd.",K2287,651008
FAVITE Inc.,I2924,655773
"FedEx Express International B.V., Taiwan Branch",R8212,650818
Femtoscience Inc.,T9060,661932
"Ferrotec Taiwan Co., Ltd.",N0034,652169
"Festo Co., Ltd.",P5324,653735
ficonTEC,R8124,655716
Fidertech Corporation,I3327,662295
"FINE Co., Ltd.",S7737,650520
Fine Silicon Manufacturing (Shanghai) Ltd.,I2723,651257
"FINETEK CO., LTD.",J2946,695991
"FISCHER  INSTRUMENTATION  (TAIWAN)  CO., LTD.",I2126,650919
FITOK GmbH,L0003,652140
"Fittech Co., Ltd",I2904,651074
Flagship International Ltd. 旗艦國際管理顧問有限公司,Q5436,653815
Flotrend Corporation,S7241,650547
"FNS, Inc.",I2019,652099
"Foresight Technology Company, Ltd.",X0007,654293
Forge Nano,N0982,653178
Forter Technology Corporation,S7636,650510
"FOX Co.,Ltd.",Q6134,698037
"FPI Tech. Co., LTD.",N0288,653235
"FRD CO., Ltd.",P6212,654196
French Chamber Taiwan,R7324,678703
"FRONTXIN ULTRASONIC TECHNOLOGY CO., LTD.",R8205,696141
FST (Fine Semitech Corp.),Q5658,697865
"FST International H.C., Ltd.",T9225,662022
"Fu-Hwa Machine Co., Ltd.",M1055,652844
"FUJIFILM Electronic Materials Taiwan Co., Ltd.",L0316,652377
Fujikin Taiwan Incorporated,L0108,652277
FUKUOKA PREFECTURAL GOVERNMENT,Q6044,654065
Full Bright Industrial Supply Center,I2010,652092
"Functional Coating System Technologies Co.,Ltd",R7200,698224
"G.C MICRO TECHNOLOGY CO., LTD.",N1083,653179
"GAIN-TEK SEMICONDUCTOR MATERIAL CO., LTD.",I2006,652089
Galatek Technologies Malaysia Sdn. Bhd.,P6002,697904
Galaxy Technology Development Company,J3146,651544
"Gallant Micro. Machining Co., Ltd.",N0662,652946
"Gallant Precision Machining Co., Ltd.",N0662,696200
Garma Information & Communacation Inc.,Q5743,662352
"GASDNA CO., LTD.",H0005,679919
"Gastron Co., Ltd.",L0012,696416
Gauss Labs,P5720,653711
"G-DOK IND. CO., LTD.",R7312,697744
"GeChi Compound Semiconductor Co., Ltd.",I3222,651998
Geckos Technology Corporation,L1004,654621
GEMI TEK CORP.,P5200,698250
"Gemmy-Tek Technology Co., Ltd.",M1242,696302
GEMÜ Taiwan Ltd.,L0305,652231
Genes Tech Group Holdings Co Ltd.,P5412,653643
"GENII IDEAS Co., Ltd.",P5906,653593
Gentec (Shanghai) Corporation,Q5646,653896
Germany Trade & Invest,K2760,698903
"GET YANG INDUSTRIAL CO., LTD",K2665,651683
GfG - Gesellschaft für Gerätebau mbH,T9021,661897
"Giantlok Co., Ltd.",T9202,661939
"GILLION APPLICATION TECHNOLOGY CO., LTD",I2024,652105
Glint Materials Co. Ltd,I2927,651303
GLIT,Q6235,697047
Global ETS,S7330,698716
Global Precise Instrument Corporation,J2452,651588
"Global TechSolutions TW Co., Ltd.",S7752,650705
GLOBAL ZEUS,T9419,662044
GMT GLOBAL INC.,Q5442,653862
Gold Stone Development Co. Ltd,N0462,652931
"Golden Mountain Enterprise Co., Ltd",T9417,662042
Government of Ontario,Q6158,697962
"GPAS OPTRONICS TECHNOLOGY CO., LTD.",M1056,652869
"Grace Haozan Applied Material Co., Ltd",K2365,651677
Gradiant,R7720,650272
GRAND TECHNOLOGY INC.,R7009,650856
"GrandiT Co., Ltd",T9035,661891
Grandome Technology Inc.,N0476,697052
"Great Combination Enterprise Co.,Ltd.",R7804,650137
"Great Domain Enterprise Co., Ltd.",N0376,653096
"GREAT KNIVES MANUFACTURE CO., LTD.",T9208,661964
"GREAT PRECISION CO., LTD.",P5224,653732
Greater Tokyo Initiative,H0039,683405
Gredmann Taiwan Ltd.,S8058,650778
"Green Optics Co., Ltd.",R8218,650424
"Greene, Tweed & Co., Inc.",R7113,695992
GreenFILTEC LTD.,R7812,650401
GreenTrans Corporation,P5522,653722
"Grikin Advanced Materials Co., Ltd.",K2390,651939
"Grintimate Precision Industry Co., Ltd.",I3110,651120
"GROUP UP INDUSTRIAL CO., LTD.",N1162,652943
GST Taiwan Ltd.,L0200,652183
"GTA MATERIAL CO., LTD.",L0230,652543
"GTEN BALL SCREW TECHNOLOGY CO., LTD.",S7002,650865
"Guangdong iStar Technology Equipment Co., Ltd.",N0043,653335
"Gudeng Precision Industrial Co., Ltd.",N0776,655413
"GWOUEI METALS INDUSTRY CO., LTD",J3038,696025
Gyrobot Systems Pte. Ltd,Q5752,653946
HABOR PRECISION INC.,R7900,650097
HAITIMA CORPORATION,R7618,650253
Hajime Corporation,P5920,653715
Hakuto Taiwan Ltd.,N0262,654630
"Hamamatsu Photonics Taiwan Co., Ltd.",I2216,651186
"HAN XING LONG MACHINERY CO., LTD.",L0508,652284
"Hanaki Rubber Co.,Ltd.",Q6235,697049
"HANBELL VACUUM TECHNOLOGY CO., LTD",K2376,654559
"Handletek Co., Ltd.",L0012,652150
"HangZhou Changchuan Technology Co.,Ltd",K2888,655778
"Hangzhou Cobetter Filtration Equipment Co., Ltd.",Q5152,653493
"Hangzhou Deefine Filtration Technology Co., Ltd",R7719,650421
HANMI Semiconductor,L0516,652381
"HANSTECH ADVANCED MATERIALS CO., LTD.",L0223,652445
Hantop Intelligence Tech.,P5718,653699
Hanwha Semitech,N0984,653203
"Haohua Gas Co.,Ltd.",R7406,650378
Harbor Technology Solutions,T9136,662353
HARTLEY ULTRAFAST LTD,I3000,698040
Hauman Technologies Corp.,M0548,655804
"HEART TECH ENTERPRISE CO., LTD.",P6019,653702
"HEATACT SUPER CONDUCTIVE HEAT - TECH CO., LTD.",H0027,679930
"Hefei ImagEx Electronics Technology Co., Ltd.",T9024,661899
"Hefei SHAREWIN Semiconductor Material Co.,Ltd.",T9039,661895
Heidelberg Instruments Mikrotechnik GmbH,R7724,697370
"HEIDENHAIN CO., LTD (Taiwan)",K2864,651690
"HELLER INDUSTRIES, INC",I3228,693458
"HeNan Union precision Material.co.,ltd",X0027,654303
"Henan Xinlianxin Shenleng Energy Co., Ltd.",T9302,661941
Heraeus Materials Singapore Pte Ltd,L1008,652294
Heraeus Printed Electronics GmbH,L1008,696329
"Herald Aluminum Co., Ltd.",R7012,650853
Hermes Testing Solutions Inc.,M0538,697548
Hermes-Epitek Corp.,M0634,652611
HERMOS RFID,P5323,653716
HERONIC TECHNOLOGIES LIMITED,I3000,698051
Hesse Asia Limited,M0958,652892
"Hickwall Tech Caster Industrial Co., Ltd.",R8122,655715
"HIGEE CO.,LTD",R7905,650373
Hightec Systems Corporation,L0306,652256
Highvac Corporation,S7330,698527
Hi-Lo System Research Co. Ltd,Q5338,653829
"HIMEJI RIKA CO.,LTD.",L0015,652152
"Hi-Nano Optoelectronics Co.,Ltd.",N1167,652989
"HIROSE OPTO CO., LTD.",I2406,651084
Hirose SER Inc.,K2046,655577
"Hitachi Energy Taiwan Co ., Ltd.",R7704,650135
Hitachi High-Tech Corporation,S7540,696132
HIWIN MIKROSYSTEM CORP.,L0600,652203
Hiwin Technologies Corporation,L0600,695657
"Holding Electric Co., Ltd.",I3404,661777
Holland High Tech,K2760,698904
"Homwell Co., Ltd.",J2640,651473
"HON. PRECISION, INC.",K3160,652062
Honeywell Taiwan Limited,Q5343,656299
"HONG I INSTRUMENTS CO., LTD.",Q6341,654191
"Hong Kong Mabuchi Motor NPM Trading Co.,LTD. Taiwan Branch Office",K2267,650978
"Hong Yang Laser Service Co., Ltd.",G0013,679570
"HONG-KUANG HI-TECH, CORP.",S7252,650699
"HONG-MING TECHNOLOGY CO., LTD.",I2101,661798
Honlyco Inc.,T9135,662050
"HonWay Materials Co., Ltd.",Q5839,653836
"HORIBA Taiwan, Inc.",J2246,651525
"Horng Terng Automation Co., Ltd.",Q5252,653936
"HOYI TECH CO., LTD.",T9025,661881
"HPRAY (Beijing) Semiconductor Materials Co., Ltd",Q5145,654712
"Hsiung Mu Enterprise Co., Ltd",I2323,651249
HTC & SOLAR TECH SERVICE LIMITED,Q5558,653988
"Huang Liang Biomedical Technology Co., Ltd.",R7200,698219
"Huangshan Juxin New Material Co., Ltd.",K3462,661787
"Hundred Semiconductors, Inc.",Q6235,696206
"Hung Cheng International Technical Co., LTD",R7007,650855
HUNG CHING DEVELOPMENT COMPANY LIMITED,H0003,679918
"Hung Shin Technology Co., Ltd.",J2453,651587
"Hwa Chih Technology Co., Ltd.",S8345,681224
"HWASHU Enterprise Co., Ltd.",M0356,652856
"HYE TECHNOLOGY CO.,LTD.",I2300,697108
"Hypersonic, Inc.",N0762,655995
"I JANG INDUSTRIAL CO.,LTD.",X0010,654324
"IBARAKI GRINDING WHEEL Co.,Ltd.",Q6235,696202
Ibaraki Prefectural Government,Q6235,663228
i-Bot Technology Inc.,K2360,651391
IBS - Ion Beam Services,R7324,697863
IC STARTUP ZONE,T9404,662063
IceMOS Technology Ltd,I3000,698041
ICHEON CITY,R7312,697759
iCometrue Company Ltd.,M0957,652866
"ICP DAS CO., LTD.",Q5238,677758
"ICS Technology Co., Ltd.",K2164,650974
ICSPI Corp,Q6158,697964
"I-DER-VON ENTERPRISE CO., LTD.",R7904,650139
IDTechEx,X0003,654291
ifm electronic ltd.,Q5430,653513
igus Taiwan Company Limited,K3067,651712
"IHARA SCIENCE TAIWAN CO., LTD.",T9209,696041
"IMT Co., Ltd",R7312,697741
Indiana Economic Development Corporation,S7330,697567
Indium Corporation,I2416,651190
"Industrial Development Administration ,MOEA",L0416,652379
Industrial Technology Research Institute,L0700,655842
INFICON Company Limited,M0534,652597
INFINIFLUX,I3000,698052
Infinity Vision Technology Corp. Ltd,J3256,652079
Ingentec Corporation,S7558,650771
"INNOJET TECHNOLOGY CO., LTD.",S7131,654702
Innolux Corporation,R7200,698226
Inspiraz Technology Pte Ltd,P6028,697891
Integrated Service Technology,K3389,652058
Integrated Technology Corporation Taiwan Branch,K3478,661786
"INTEKPLUS Co., Ltd.",I2230,651333
"Intelume LASER SYSTEMS CO., LTD.",N0962,652939
Intertec Taiwan Corp.,L0226,652492
INTERTEK TESTING SERVICES TAIWAN LTD,R8301,696133
inTEST EMS Corporation,N0570,697556
"INTG-TECH CO., LTD.",S7546,697416
"Intifar Global Co., Ltd",K3082,655697
INVENTEC Performance Chemicals,S7852,650718
Invest in Costa Rica,K2169,661809
Investment NSW,S7440,650551
"ION ELECTRONIC MATERIALS CO., LTD.",S8143,650586
IOTek G.K.,Q6235,697045
IR Vision,T9404,698067
"IRE SEMITEC CO., LTD",P5219,653459
"ISC Co., Ltd.",K3076,655692
ISIN INC.,T9216,662037
Italian Trade Agency - Taipei Office,R8000,681252
"IWAKI CO.,LTD.",N0266,654633
Iwatani Corporation (Taiwan) Ltd.,R7001,650861
"JAINNHER MACHINE CO., LTD.",Q5352,697512
"JAO JAI ENTERPRISE CO., LTD.",S7743,650593
JC's Chunson Limited,N0362,656079
JCU TAIWAN CORPORATION,Q5758,653992
"JDV CONTROL VALVES CO., LTD.",P5606,653587
"JEL AUTOMATION CO., LTD.",L1100,654606
JEM TAIWAN PROBE CORP.,K2276,651797
JEOL Ltd.,K2160,650967
"JET TECHNOLOGY CO., LTD.",R8224,650824
"JHT Design Co., Ltd.",K3088,655565
"Jiangsu Jinggong Semicon Equipment Co., Ltd",K2265,650975
"Jiangsu Rongdaoshe Semiconductor Equipment Technology Co., Ltd.",T9034,661889
"JIANGSU XINTIANYU TECHNOLOGY CO.,LTD.",T9517,662046
"JIANN SHENG MACHINERY & ELECTRIC INDUSTRIAL CO., LTD.",I3205,651078
"JiaXing Jiuzong Intelligent Technology Co., Ltd.",Q6236,654141
"Jim & Steve Industrial Co., Ltd.",L1200,654612
"JIMMORE International Co., Ltd.",Q5840,653855
"JING CHENG MATERIAL CO., LTD.",I3323,652011
"JING YUAN TECHNOLOGY CO., LTD.",R7424,650441
"JINHONG GAS CO., LTD.",S8052,650710
Jipal Corporation,N0176,653092
JIPITI（GPT） CO.,R7312,697748
"JJmr-Clean-Air Solution Tech. Services Co., Ltd",S7530,650087
JobsOhio,S7330,697571
"Joen Lih Machinery Co., Ltd.",J2446,651529
Johnstech International Corporation,J2755,651613
